Year,No.,Round,Pick,Player,Name,Team,College
NA,29,8,12,205,Mark Higgs,Cowboys,Kentucky
NA,30,8,14,207,David Smith,Eagles,Western Kentucky
NA,31,8,24,217,Harvey Reed,Bears,Howard
NA,32,8,28,221,Darryl McGill,Redskins,Wake Forest
NA,33,9,1,222,James Primus,Falcons,UCLA
NA,34,9,6,227,Reggie Ware,Raiders,Auburn
NA,35,9,15,236,Gordie Lockbaum,Steelers,Holy Cross
NA,36,9,27,248,Mel Farr,Broncos,UCLA
NA,37,10,2,251,Kenny Gamble,Chiefs,Colgate
NA,38,10,19,268,Channing Williams,Broncos,Arizona State
NA,39,11,15,292,Tom Kelleher,Dolphins,Holy Cross
NA,40,11,17,294,Marvin Allen,Patriots,Tulane
NA,41,11,27,304,Richard Calvin,Broncos,Washington State
1987,1,1,3,3,Alonzo Highsmith,Oilers,Miami (FL)
NA,2,1,4,4,Brent Fullwood,Packers,Auburn
NA,3,1,14,14,D.J. Dozier,Vikings,Penn State
NA,4,1,19,19,Paul Palmer,Chiefs,Temple
NA,5,1,21,21,Roger Vick,Jets,Texas A&M
NA,6,1,24,24,Rod Bernstine,Chargers,Texas A&M
NA,7,1,25,25,Terrence Flagler,49ers,Clemson
NA,8,2,3,31,Kenny Flowers,Falcons,Clemson
NA,9,2,7,35,Christian Okoye,Chiefs,Azusa Pacific
NA,10,2,23,51,Don Smith,Buccaneers,Mississippi State
NA,11,3,22,78,Jamie Mueller,Bills,Benedictine
NA,12,3,23,79,Bob Perryman,Patriots,Michigan
NA,13,3,24,80,Tim Manoa,Browns,Penn State
NA,14,3,25,81,Steve Smith,Raiders,Penn State
NA,15,4,15,99,Troy Stradford,Dolphins,Boston College
NA,16,5,5,117,Timmy Smith,Redskins,Texas Tech
NA,17,5,6,118,George Swarn,Cardinals,Miami (OH)
NA,18,5,7,119,Tommie Agee,Seahawks,Auburn
NA,19,5,18,130,Marc Logan,Bengals,Kentucky
NA,20,5,21,133,Spencer Tillman,Oilers,Oklahoma
NA,21,6,3,143,Steve Bartalo,Buccaneers,Colorado State
NA,22,6,20,160,Tim Richardson,Giants,Pacific
NA,23,6,27,167,Warren Marshall,Broncos,James Madison
NA,24,7,3,171,Kerry Porter,Bills,Washington State
NA,25,7,14,182,Tom Brown,Dolphins,Pittsburgh
NA,26,7,15,183,Bo Jackson,Raiders,Auburn
NA,27,8,1,196,Eddie Hunter,Jets,Virginia Tech
NA,28,8,16,211,Rick Fenney,Vikings,Washington
NA,29,8,23,218,Michael Clemons,Chiefs,William & Mary
NA,30,9,1,224,Joe Armentrout,Buccaneers,Wisconsin
NA,31,9,3,226,Thomas Wilcher,Chargers,Michigan
NA,32,9,7,230,Rick Calhoun,Lions,Fullerton State
NA,33,9,12,235,Alvin Blount,Cowboys,Maryland
NA,34,9,17,240,Tracy Ham,Rams,Georgia Southern
NA,35,9,25,248,Alfred Jenkins,Redskins,Arizona
NA,36,9,26,249,Lakei Heimuli,Bears,Brigham Young
NA,37,9,28,251,Dana Wright,Giants,Findlay
NA,38,10,10,261,Merril Hoge,Steelers,Idaho State
NA,39,10,18,269,David McCluskey,Bengals,Georgia
NA,40,10,20,271,James Evans,Chiefs,Southern
NA,41,11,1,280,Reggie Taylor,Buccaneers,Cincinnati
NA,42,11,9,288,Chris McLemore,Raiders,Arizona
NA,43,11,18,297,Darryl Oliver,Seahawks,Miami (FL)
NA,44,11,26,305,Tim Jessie,Bears,Auburn
NA,45,11,27,306,Tommy Neal,Broncos,Maryland
NA,46,12,2,309,David Adams,Colts,Arizona
NA,47,12,3,310,Marcus Greenwood,Chargers,UCLA
NA,48,12,7,314,Ira Valentine,Oilers,Texas A&M
NA,49,12,9,316,Bobby Morse,Eagles,Michigan State
NA,50,12,13,320,Larry Emery,Falcons,Wisconsin
NA,51,12,17,324,Tony Burse,Seahawks,Middle Tennessee State
NA,52,12,19,326,Alonzo Williams,Rams,Mesa State
NA,53,12,21,328,John Holifield,Bengals,West Virginia
NA,54,12,22,329,Chad Stark,Giants,North Dakota State
NA,55,12,23,330,Elgin Davis,Patriots,Central Florida
NA,1,7,0,0,Charles Crawford,Eagles,Oklahoma State
1986,1,1,1,1,Bo Jackson,Buccaneers,Auburn
NA,2,1,10,10,Keith Byars,Eagles,Ohio State
NA,3,1,15,15,John L. Williams,Seahawks,Florida
NA,4,1,16,16,Ronnie Harmon,Bills,Iowa
NA,5,1,26,26,Reggie Dupard,Patriots,Southern Methodist
NA,6,1,27,27,Neal Anderson,Bears,Florida
NA,7,2,2,29,Gary James,Lions,Louisiana State
NA,8,2,4,31,Dalton Hilliard,Saints,Louisiana State
NA,9,2,6,33,Darryl Clack,Cowboys,Arizona State
NA,10,2,10,37,Anthony Toney,Eagles,Texas A&M
NA,11,2,14,41,Kenneth Davis,Packers,Texas Christian
NA,12,3,1,56,Tom Rathman,49ers,Nebraska
NA,13,3,2,57,Rueben Mayes,Saints,Washington State
NA,14,3,6,61,Allen Pinkett,Oilers,Notre Dame
NA,15,3,7,62,Barry Word,Saints,Virginia
NA,16,4,21,103,Vance Mueller,Raiders,Occidental
NA,17,4,26,108,Napoleon McCallum,Raiders,Navy
NA,18,5,1,111,Carl Byrum,Bills,Mississippi Valley State
NA,19,5,9,119,Oscar Smith,Lions,Nicholls State
NA,20,6,3,141,Kent Hagood,Chiefs,South Carolina
NA,21,6,7,145,Ray Wallace,Oilers,Purdue
NA,22,6,9,147,Thomas Rooks,Vikings,Illinois
NA,23,6,21,159,Keith Williams,Falcons,SW Missouri State
NA,24,6,22,160,Lynn Williams,Rams,Kansas
NA,25,6,28,166,Jeff Powell,Bears,Tennessee
NA,26,7,7,173,Gill Fenerty,Saints,Holy Cross
NA,27,7,9,175,Rodney Carter,Steelers,Purdue
NA,28,7,11,177,Pat Franklin,Bengals,Southwest Texas State
NA,29,7,15,181,Paul Miles,Seahawks,Nebraska
NA,30,7,18,184,Jon Francis,Giants,Boise State
NA,31,7,20,186,Rick Badanjek,Redskins,Maryland
NA,32,8,18,212,Topper Clemons,Cowboys,Wake Forest
NA,33,9,19,240,Tony Cherry,49ers,Oregon
NA,34,9,24,245,Nuu Faaola,Jets,Hawaii
NA,35,9,25,246,Zeph Lee,Raiders,USC
NA,36,10,3,252,Tony Baker,Falcons,East Carolina
NA,37,10,5,254,Vai Sikahema,Cardinals,Brigham Young
NA,38,10,12,261,Junior Tautalatasi,Eagles,Washington State
NA,39,10,27,276,Cletis Jones,Patriots,Florida State
NA,40,11,15,292,Randy Dausin,Browns,Texas A&M
NA,41,11,16,293,Chuck Sanders,Chargers,Slippery Rock
NA,42,11,20,297,Kenny Fells,Redskins,Henderson State
NA,43,11,22,299,Vince Amoia,Jets,Arizona State
NA,44,11,23,300,Chul Schwanke,Rams,South Dakota
NA,45,11,24,301,Thomas Dendy,Broncos,South Carolina
NA,46,12,5,310,Chuck Banks,Oilers,West Virginia Tech
NA,47,12,19,324,Mike Crawford,Oilers,Arizona State
NA,48,12,20,325,Bobby Howard,Eagles,Indiana
NA,49,12,22,327,Marcus Dupree,Rams,Oklahoma
NA,50,12,24,329,Rickey Isom,Dolphins,North Carolina State
NA,1,8,0,0,Roosevelt Snipes,49ers,Florida State
1985,1,1,15,15,Ethan Horton,Chiefs,North Carolina
NA,2,1,19,19,George Adams,Giants,Kentucky
NA,3,1,26,26,Steve Sewell,Broncos,Oklahoma
NA,4,1,27,27,Lorenzo Hampton,Dolphins,Florida
NA,5,2,7,35,Greg Allen,Browns,Florida State
NA,6,2,25,53,Owen Gill,Seahawks,Iowa
NA,7,3,19,75,Ricky Moore,49ers,Alabama
NA,8,4,19,103,Robert Lavette,Cowboys,Georgia Tech
NA,9,4,20,104,Ron Wolfley,Cardinals,West Virginia
NA,10,5,2,114,Herschel Walker,Cowboys,Georgia
NA,11,5,6,118,Joe McIntosh,Lions,North Carolina State
NA,12,5,14,126,Bruce King,Chiefs,Purdue
NA,13,5,23,135,Dan Reeder,Raiders,Delaware
NA,14,5,25,137,Johnnie Jones,Seahawks,Tennessee
NA,15,6,27,167,Ron Davenport,Dolphins,Louisville
NA,16,7,4,172,Kim Locklin,Bengals,New Mexico State
NA,17,7,14,182,Gary Ellerson,Packers,Wisconsin
NA,18,7,17,185,Lionel Vital,Redskins,Nicholls State
NA,19,7,21,189,Danny Bradley,Rams,Oklahoma
NA,20,8,1,197,Jacque Robinson,Bills,Washington
NA,21,8,6,202,Scott Casdwell,Lions,Texas-Arlington
NA,22,8,11,207,Curtis Adams,Chargers,Central Michigan
NA,23,8,17,213,Lee Rouson,Giants,Colorado
NA,24,8,22,218,Marlon McIntyre,Rams,Pittsburgh
NA,25,9,3,227,Jamie Covington,Vikings,Syracuse
NA,26,9,11,235,Mike Waters,Jets,San Diego State
NA,27,9,26,250,Thomas Sanders,Bears,Texas A&M
NA,28,10,15,267,Jeff Smith,Chiefs,Nebraska
NA,29,10,19,271,Dennis Williams,Cardinals,Furman
NA,30,11,8,288,Punkin Williams,Buccaneers,Memphis State
NA,31,11,9,289,Herman Hunter,Eagles,Tennessee State
NA,32,11,15,295,Paul Lewis,Patriots,Boston University
NA,33,11,23,303,Steve Strachan,Raiders,Boston College
NA,34,11,27,307,Mike Jones,Dolphins,Tulane
NA,35,12,20,328,Tony Mumford,Patriots,Penn State
NA,1,1,2,2,Mike Rozier,Oilers,Nebraska
NA,2,1,11,11,Kevin Mack,Browns,Clemson
NA,3,1,12,12,Buford Jordan,Packers,McNeese State
NA,4,2,2,30,Kevin Nelson,Buccaneers,UCLA
NA,5,2,7,35,Albert Bentley,Colts,Miami (FL)
NA,6,2,10,38,Bill Johnson,Bengals,Arkansas State
NA,7,2,14,42,Mel Gray,Saints,Purdue
NA,8,2,15,43,Eric Jordan,Patriots,Purdue
NA,9,3,3,59,Kirby Warren,Giants,Pacific
NA,10,3,24,80,Mark Schellen,49ers,Nebraska
1984,1,1,26,26,Greg Bell,Bills,Notre Dame
NA,2,3,5,61,Herman Heard,Chiefs,Southern Colorado
NA,3,3,9,65,Stanford Jennings,Bengals,Furman
NA,4,3,11,67,Alfred Anderson,Vikings,Baylor
NA,5,3,13,69,Tyrone Williams,Saints,North Carolina
NA,6,3,14,70,Jonathan Williams,Patriots,Penn State
NA,7,3,18,74,Ernest Anderson,Lions,Oklahoma State
NA,8,3,26,82,Speedy Neal,Bills,Miami (FL)
NA,9,3,28,84,Joe McCall,Raiders,Pittsburgh
NA,10,4,8,92,John Farley,Bengals,Sacramento State
NA,11,4,18,102,Jimmy Smith,Redskins,Elon
NA,12,4,19,103,George Wonsley,Colts,Mississippi State
NA,13,4,22,106,Dave D'Addio,Lions,Maryland
NA,14,4,23,107,Michael Gunter,Buccaneers,Tulsa
NA,15,4,25,109,Joe Carter,Dolphins,Alabama
NA,16,5,4,116,Andre Hardy,Eagles,St. Mary's (CA)
NA,17,5,6,118,Lionel James,Chargers,Auburn
NA,18,5,25,137,Norm Granger,Cowboys,Iowa
NA,19,5,28,140,Allen Rice,Vikings,Baylor
NA,20,6,7,147,Dwight Beverly,Colts,Illinois
NA,21,6,9,149,Tony Paige,Jets,Virginia Tech
NA,22,7,2,170,Willie Joyner,Oilers,Maryland
NA,23,7,4,172,Joe Hayes,Eagles,Central State (OK)
NA,24,7,11,179,Nakita Robertson,Bears,Central Arkansas
NA,25,7,17,185,Quentin Walker,Cardinals,Virginia
NA,26,8,14,210,Clemon Terrell,Saints,Southern Mississippi
NA,27,8,23,219,Bob Craighead,Chargers,N.E. Louisiana
NA,28,8,25,221,Ronnie Landry,Dolphins,McNeese State
NA,29,8,26,222,Mike Revell,Cowboys,Bethune-Cookman
NA,30,9,17,241,John Walker,Cardinals,Texas
NA,31,9,21,245,Chris Brewer,Broncos,Arizona
NA,32,9,23,247,Rich Erenberg,Steelers,Colgate
NA,33,9,24,248,Derrick Harmon,49ers,Cornell
NA,34,10,9,261,Ronny Cone,Jets,Georgia Tech
NA,35,10,13,265,Brent Ziegler,Bengals,Syracuse
NA,36,10,18,270,Randall Morris,Seahawks,Tennessee
NA,37,10,27,279,Keith Griffin,Redskins,Miami (FL)
NA,38,10,28,280,Earnest Byner,Browns,East Carolina
NA,39,11,3,283,Frank Cephous,Giants,UCLA
NA,40,11,5,285,Bobby Johnson,Chiefs,San Jose State
NA,41,11,6,286,Buford McGee,Chargers,Mississippi
NA,42,11,9,289,Steve McKeaver,Bengals,Central State (OK)
NA,43,11,13,293,Michael Marper,Rams,USC
NA,44,11,19,299,Gene Lang,Broncos,Louisiana State
NA,45,11,21,301,Dwayne Love,Rams,Houston
NA,46,11,23,303,Elton Veals,Steelers,Tulane
NA,47,12,14,322,Mike Jones,Vikings,North Carolina A&T
NA,48,12,22,330,Donald Jordan,Bears,Houston
NA,49,12,24,332,Gernandars Gillespie,Steelers,William Jewell
1983,1,1,2,2,Eric Dickerson,Rams,Southern Methodist
NA,2,1,3,3,Curt Warner,Seahawks,Penn State
NA,3,1,8,8,Michael Haddix,Eagles,Mississippi State
NA,4,1,13,13,James Jones,Lions,Florida
NA,5,1,20,20,Gary Anderson,Chargers,Arkansas
NA,6,2,21,49,Roger Craig,49ers,Nebraska
NA,7,2,23,51,Johnny Hector,Jets,Texas A&M
NA,8,2,28,56,Richard Williams,Redskins,Memphis State
NA,9,3,10,66,Cliff Astin,Saints,Clemson
NA,10,4,5,89,Mike Williams,Eagles,Mississippi College
NA,11,4,16,100,Mark Rush,Vikings,Miami (FL)
NA,12,5,2,114,Larry Moriarty,Oilers,Notre Dame
NA,13,5,20,132,Bryan Thomas,Packers,Pittsburgh
NA,14,5,23,135,Chuck McSwain,Cowboys,Clemson
NA,15,6,10,150,Reginald Gipson,Seahawks,Alabama A&M
NA,16,6,23,163,Vincent White,Jets,Stanford
NA,17,6,25,165,Larry Kinnebrew,Bengals,Tennessee State
NA,18,7,1,169,Alvin Moore,Colts,Arizona State
NA,19,7,5,173,Ken Thomas,Chiefs,San Jose State
NA,20,7,6,174,Anthony Edgar,Eagles,Hawaii
NA,21,7,11,179,Daryl Posey,Chiefs,Mississippi College
NA,22,7,17,185,Weldon Ledbetter,Buccaneers,Oklahoma
NA,23,7,19,187,Craig James,Patriots,Southern Methodist
NA,24,7,20,188,Jessie Clark,Packers,Arkansas
NA,25,7,26,194,Jeff McCall,Raiders,Clemson
NA,26,7,28,196,Kelvin Bryant,Redskins,North Carolina
NA,27,8,3,199,Henry Odom,Steelers,South Carolina State
NA,28,8,6,202,Earnest Jackson,Chargers,Texas A&M
NA,29,8,24,220,Lawrence Ricks,Cowboys,Michigan
NA,30,8,26,222,Mike Dotterer,Raiders,Stanford
NA,31,9,9,233,Ricky Williams,Patriots,Langston
NA,32,9,10,234,George Parker,Bills,Norfolk State
NA,33,9,18,242,Otis Brown,Cardinals,Jackson State
NA,34,9,24,248,Stanley Wilson,Bengals,Oklahoma
NA,35,9,27,251,Marcus Gilbert,Redskins,Texas Christian
NA,36,10,5,256,Anthony Hutchison,Bears,Texas Tech
NA,37,10,27,278,Anthony Reed,Dolphins,South Carolina State
NA,38,11,7,286,Gary Worthy,Bears,Wilmington (OH)
NA,39,11,8,287,Ben Tate,Lions,North Carolina Central
NA,40,11,9,288,Boyce Green,Browns,Carson-Newman
NA,41,11,28,307,Tim Spencer,Chargers,Ohio State
NA,42,12,12,319,Waddell Kelly,Patriots,Arkansas State
NA,43,12,18,325,Maurice Turner,Vikings,Utah State
NA,44,12,23,330,Roger Wiley,Steelers,Sam Houston State
NA,45,12,24,331,Lorenzo Bouier,Cowboys,Maine
NA,46,12,28,335,John Tuggle,Giants,California
1982,1,1,7,7,Darrin Nelson,Vikings,Stanford
NA,2,1,9,9,Gerald Riggs,Falcons,Arizona State
NA,3,1,10,10,Marcus Allen,Raiders,USC
NA,4,1,12,12,Walter Abercrombie,Steelers,Baylor
NA,5,1,14,14,Barry Redden,Rams,Richmond
NA,6,1,18,18,Butch Woolfork,Giants,Michigan
NA,7,1,21,21,Gerald Willhite,Broncos,San Jose State
NA,8,2,13,40,Robert Weathers,Patriots,Arizona State
NA,9,2,18,45,Joe Morris,Giants,Syracuse
NA,10,3,16,71,Del Rodgers,Packers,Utah
NA,11,3,17,72,Stanley Edwards,Oilers,Michigan
NA,12,3,24,79,Dwayne Crutchfield,Jets,Iowa State
NA,13,4,6,89,Dennis Gentry,Bears,Baylor
NA,14,4,10,93,Van Williams,Bills,Carson-Newman
NA,15,4,12,95,Reggie Brown,Falcons,Oregon
NA,16,4,20,103,Dave Barrett,Buccaneers,Houston
NA,17,4,27,110,Rodney Tate,Bengals,Texas
NA,18,5,14,125,Earl Ferrell,Cardinals,East Tennessee State
NA,19,5,15,126,Mike Meade,Packers,Penn State
NA,20,5,19,130,Del Thompson,Chiefs,Texas-El Paso
NA,21,5,20,131,Sammy Winder,Broncos,Southern Mississippi
NA,22,5,25,136,Rich Diana,Dolphins,Yale
NA,23,5,28,139,Newton Williams,49ers,Arizona State
NA,24,6,3,142,Marvin Lewis,Saints,Tulane
NA,25,6,12,151,Vince Williams,49ers,Oregon
NA,26,7,8,175,Phil Bates,Lions,Nebraska
NA,27,7,9,176,David Toloumu,Falcons,Hawaii
NA,28,7,25,192,Larry Cowan,Dolphins,Jackson State
NA,29,8,7,202,A.J. Jones,Rams,Texas
NA,30,8,21,216,George Peoples,Cowboys,Auburn
NA,31,8,24,219,Lawrence Texada,Jets,Henderson State
NA,32,8,26,221,Dwight Sullivan,Cowboys,North Carolina State
NA,33,9,24,247,Rocky Klever,Jets,Montana
NA,34,9,25,248,Mack Boatner,Dolphins,Southeastern Louisiana
NA,35,10,4,255,Ricky Floyd,Browns,Southern Mississippi
NA,36,11,25,304,Michael Whiting,Cowboys,Florida State
NA,37,11,26,305,Russell Davis,Bengals,Idaho
NA,38,12,1,307,Johnnie Wright,Colts,South Carolina
NA,39,12,8,314,Donnie Craft,Oilers,Louisville
NA,40,12,12,318,Hobson Milner,Vikings,Cincinnati
NA,41,12,13,319,Ricky Porter,Lions,Slippery Rock
NA,42,12,19,325,Michael Morton,Buccaneers,UNLV
1981,1,1,1,1,George Rogers,Saints,South Carolina
NA,2,1,3,3,Freeman McNeil,Jets,UCLA
NA,3,1,12,12,Randy McMillan,Colts,Pittsburgh
NA,4,1,13,13,David Overstreet,Dolphins,Oklahoma
NA,5,1,24,24,James Brooks,Chargers,Auburn
NA,6,1,28,28,Booker Moore,Bills,Penn State
NA,7,2,2,30,Marion Barber,Jets,Minnesota
NA,8,2,3,31,David Hughes,Seahawks,Boise State
NA,9,2,6,34,James Wilder,Buccaneers,Missouri
NA,10,2,13,41,Joe Delaney,Chiefs,Northwestern State (LA)
NA,11,2,19,47,Tony Collins,Patriots,East Carolina
NA,12,2,24,52,Jarvis Redwine,Vikings,Nebraska
NA,13,2,28,56,Andra Franklin,Dolphins,Nebraska
NA,14,4,2,85,Clifford Chatman,Giants,Central State (OK)
NA,15,4,20,103,Amos Lawrence,Chargers,North Carolina
NA,16,4,27,110,Calvin Murray,Eagles,Ohio State
NA,17,5,11,122,Arrington Jones,49ers,Winston-Salem State
NA,18,5,27,138,Tommy Vigorito,Dolphins,Virginia
NA,19,6,13,151,Alvin Lewis,Broncos,Colorado State
NA,20,6,27,165,Edward O'Neal,Giants,Tuskegee
NA,21,7,2,168,Louis Jackson,Giants,Cal Poly-San Luis Obispo
NA,22,7,14,180,Billy Jackson,Chiefs,Alabama
NA,23,7,18,184,Don Shaver,Vikings,Kutztown (PA)
NA,24,8,3,196,Eric Lane,Seahawks,Brigham Young
NA,25,8,10,203,Garry White,49ers,Minnesota
NA,26,8,16,209,Frank Wilson,Steelers,Rice
NA,27,9,1,222,Toussaint Tyler,Saints,Washington
NA,28,9,2,223,Jim Stone,Seahawks,Notre Dame
NA,29,9,5,226,Stump Mitchell,Cardinals,Citadel
NA,30,9,9,230,Samoa Samoa,Bengals,Washington State
NA,31,9,20,241,Rob Riddick,Bills,Millersville (PA)
NA,32,9,24,245,Calvin Fance,Falcons,Rice
NA,33,10,1,249,Hokie Gajan,Saints,Louisiana State
NA,34,10,4,252,Ken Dawson,Seahawks,Savannah State
NA,35,10,10,258,Hubert Simpson,Bengals,Tennessee
NA,36,10,20,268,Robert Parham,Chargers,Grambling State
NA,37,10,21,269,Robert Alexander,Rams,West Virginia
NA,38,10,22,270,Larry Jones,Oilers,Colorado State
NA,39,10,27,275,Hubert Oliver,Eagles,Arizona
NA,40,10,28,276,Frank Hawkins,Raiders,Nevada
NA,41,11,3,279,Lance Olander,Seahawks,Colorado
NA,42,11,11,287,Lonnie Johnson,Bears,Indiana
NA,43,11,28,304,Chester Willis,Raiders,Auburn
NA,44,12,9,313,Major Ogilvie,49ers,Alabama
NA,45,12,17,321,Mandel Robinson,Broncos,Wyoming
NA,46,12,24,328,Jairo Penaranda,Rams,UCLA
1980,1,1,1,1,Billy Sims,Lions,Oklahoma
NA,2,1,5,5,Curtis Dickey,Colts,Texas A&M
NA,3,1,13,13,Earl Cooper,49ers,Rice
NA,4,1,25,25,Vegas Ferguson,Patriots,Notre Dame
NA,5,1,27,27,Charles White,Browns,USC
NA,6,2,1,29,Joe Cribbs,Bills,Auburn
NA,7,2,18,46,Matt Suhey,Bears,Penn State
NA,8,2,25,53,Perry Harrington,Eagles,Jackson State
NA,9,3,2,58,Jewerl Thomas,Rams,San Jose State
NA,10,3,10,66,James Hadnot,Chiefs,Texas Tech
NA,11,3,24,80,James Jones,Cowboys,Mississippi State
NA,12,4,21,104,I.M. Hipp,Falcons,Nebraska
NA,13,4,24,107,Rick Parros,Broncos,Utah State
NA,14,5,11,121,Doug Paschal,Vikings,North Carolina
NA,15,5,12,122,Paul Jones,Vikings,California
NA,16,5,15,125,Kenny Lewis,Raiders,Virginia Tech
NA,17,5,17,127,Joe Steele,Seahawks,Washington
NA,18,6,13,151,LaRue Harrington,Chargers,Norfolk State
NA,19,6,16,154,Mike Guman,Rams,Penn State
NA,20,6,24,162,Tim Newsome,Cowboys,Winston-Salem State
